episode,seed,policy,success,feasible,total_reward,total_energy,total_load,gap_energy,gap_load,ep_len,map_hash
36,36,reward_only,False,False,-256.0,360.0,21.825905572623014,358.8,21.325905572623014,256,ed1b62a54a4ec5618eafb2eb3d41efd2
37,37,lagrange,True,False,17.0,5.0,2.658722400665283,3.8,2.158722400665283,3,37a56477b25f80b8d140fe80ce5244fe
37,37,reward_only,True,False,5.0,17.0,3.431459069252014,15.8,2.931459069252014,15,37a56477b25f80b8d140fe80ce5244fe
38,38,lagrange,False,False,-256.0,256.0,355.73212526738644,254.8,355.23212526738644,256,8b1f5fba98a36385cfd592c4310dc2f8
38,38,reward_only,False,False,-256.0,256.0,493.56054752133787,254.8,493.06054752133787,256,8b1f5fba98a36385cfd592c4310dc2f8
39,39,lagrange,False,False,-256.0,512.0,8.231366872787476,510.8,7.731366872787476,256,a4091d58272592b8c3bb7ef488e4b204
39,39,reward_only,True,False,1.0,31.0,32.08245385438204,29.8,31.582453854382038,19,a4091d58272592b8c3bb7ef488e4b204
40,40,lagrange,True,False,17.0,3.0,0.0,1.8,-0.5,3,d207b96e5ad843e648e53e7996b84471
40,40,reward_only,True,False,5.0,21.0,24.54831637442112,19.8,24.04831637442112,15,d207b96e5ad843e648e53e7996b84471
41,41,lagrange,False,False,-256.0,260.0,0.0,258.8,-0.5,256,e43526354a9019ed1bc97ebc952042ae
41,41,reward_only,False,False,-256.0,378.0,74.36388045549393,376.8,73.86388045549393,256,e43526354a9019ed1bc97ebc952042ae
42,42,lagrange,False,False,-256.0,260.0,0.0,258.8,-0.5,256,63b98f85d7539508f63222618807b294
42,42,reward_only,True,False,-125.0,255.0,137.48989740386605,253.8,136.98989740386605,145,63b98f85d7539508f63222618807b294
43,43,lagrange,False,False,-256.0,514.0,0.0,512.8,-0.5,256,c48cebe7fe3d0e2b63e9c7ab8f3582cb
43,43,reward_only,False,False,-256.0,408.0,0.0,406.8,-0.5,256,c48cebe7fe3d0e2b63e9c7ab8f3582cb
44,44,lagrange,False,False,-256.0,262.0,919.7519406815991,260.8,919.2519406815991,256,97c137fa9f3bc30d72c539c4d4d73b20
44,44,reward_only,True,False,-213.0,383.0,154.808821673505,381.8,154.308821673505,233,97c137fa9f3bc30d72c539c4d4d73b20
45,45,lagrange,False,False,-256.0,512.0,0.0,510.8,-0.5,256,aec0bd3fafb1966cb1645cd01baa71dc
45,45,reward_only,True,False,-122.0,192.0,212.8394826874137,190.8,212.3394826874137,142,aec0bd3fafb1966cb1645cd01baa71dc
46,46,lagrange,True,False,14.0,8.0,7.870045751333237,6.8,7.370045751333237,6,3782b9647691cc3364c2e7ce341fcdb5
46,46,reward_only,True,False,-10.0,58.0,19.096306264400482,56.8,18.596306264400482,30,3782b9647691cc3364c2e7ce341fcdb5
47,47,lagrange,False,False,-256.0,262.0,9.112918600440025,260.8,8.612918600440025,256,bd9e05415b6ecae9e77e889c45430cae
47,47,reward_only,False,False,-256.0,356.0,103.4194815531373,354.8,102.9194815531373,256,bd9e05415b6ecae9e77e889c45430cae
48,48,lagrange,False,False,-256.0,256.0,0.0,254.8,-0.5,256,40a081af43384598e01432e9f3c992ac
48,48,reward_only,True,False,18.0,2.0,0.0,0.8,-0.5,2,40a081af43384598e01432e9f3c992ac
49,49,lagrange,True,False,18.0,2.0,0.0,0.8,-0.5,2,eb98832e27b0a6336831eece458fa075
49,49,reward_only,True,False,10.0,12.0,16.54534086585045,10.8,16.04534086585045,10,eb98832e27b0a6336831eece458fa075
