seed,success_a,ep_len_a,agent_energy_sum_a,agent_load_sum_a,agent_energy_mean_a,agent_load_mean_a,oracle_min_load_sum_a,oracle_min_energy_sum_a,oracle_shortest_len_a,detour_a,feasible_a,success_b,ep_len_b,agent_energy_sum_b,agent_load_sum_b,agent_energy_mean_b,agent_load_mean_b,oracle_min_load_sum_b,oracle_min_energy_sum_b,oracle_shortest_len_b,detour_b,feasible_b,d_energy,d_load,d_detour
33,True,11,1.0,2.2156500220298767,0.09090909090909091,0.20142272927544333,0.0,0.0,11.0,0.0,False,True,11,1.0,0.8343565165996552,0.09090909090909091,0.07585059241815047,0.0,0.0,11.0,0.0,False,0.0,0.12557213685729285,0.0
34,True,12,1.0,1.7755531072616577,0.08333333333333333,0.14796275893847147,0.0,0.0,12.0,0.0,False,True,12,0.0,0.9082748591899872,0.0,0.0756895715991656,0.0,0.0,12.0,0.0,False,0.08333333333333333,0.07227318733930586,0.0
35,True,11,4.0,1.0055009722709656,0.36363636363636365,0.0914091792973605,0.0,1.0,11.0,0.0,False,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,1.0,11.0,0.0,True,0.2727272727272727,0.0914091792973605,0.0
36,True,11,2.0,0.4671997427940369,0.18181818181818182,0.042472703890366996,0.0,0.0,11.0,0.0,False,True,11,1.0,1.914910763502121,0.09090909090909091,0.174082796682011,0.0,0.0,11.0,0.0,False,0.09090909090909091,-0.13161009279164398,0.0
37,True,11,2.0,0.9247479438781738,0.18181818181818182,0.08406799489801581,0.0,0.0,11.0,0.0,False,True,11,2.0,0.9247479438781738,0.18181818181818182,0.08406799489801581,0.0,0.0,11.0,0.0,False,0.0,0.0,0.0
38,True,12,2.0,2.1733546257019043,0.16666666666666666,0.1811128854751587,0.03936505317687994,0.0,12.0,0.0,False,True,12,1.0,0.7230305373668671,0.08333333333333333,0.06025254478057226,0.03936505317687994,0.0,12.0,0.0,False,0.08333333333333333,0.12086034069458643,0.0
39,True,11,3.0,1.0245141685009005,0.2727272727272727,0.09313765168190004,0.0,0.0,11.0,0.0,False,True,11,2.0,0.9641273021697998,0.18181818181818182,0.08764793656089089,0.0,0.0,11.0,0.0,False,0.09090909090909088,0.005489715121009153,0.0
40,True,13,0.0,2.1382129192352295,0.0,0.16447791686424842,0.0,0.0,13.0,0.0,False,True,13,1.0,1.2974185943603516,0.07692307692307693,0.09980143033541165,0.0,0.0,13.0,0.0,False,-0.07692307692307693,0.06467648652883677,0.0
41,True,11,2.0,1.4478819370269775,0.18181818181818182,0.13162563063881613,0.0,1.0,11.0,0.0,False,True,11,2.0,0.0,0.18181818181818182,0.0,0.0,1.0,11.0,0.0,False,0.0,0.13162563063881613,0.0
42,True,11,2.0,0.8217656314373016,0.18181818181818182,0.07470596649430016,0.5054924488067627,1.0,11.0,0.0,False,True,11,1.0,0.5386536419391632,0.09090909090909091,0.048968512903560295,0.5054924488067627,1.0,11.0,0.0,True,0.09090909090909091,0.02573745359073986,0.0
43,True,14,1.0,2.75062957406044,0.07142857142857142,0.19647354100431716,0.7090037167072296,0.0,14.0,0.0,False,True,14,0.0,2.409397006034851,0.0,0.17209978614534652,0.7090037167072296,0.0,14.0,0.0,False,0.07142857142857142,0.024373754858970642,0.0
44,True,13,3.0,1.551694005727768,0.23076923076923078,0.11936107736367446,0.8232210278511047,1.0,13.0,0.0,False,True,13,1.0,0.3427990376949311,0.07692307692307693,0.02636915674576393,0.8232210278511047,1.0,13.0,0.0,True,0.15384615384615385,0.09299192061791053,0.0
45,True,12,1.0,2.929076164960861,0.08333333333333333,0.2440896804134051,0.8521943390369415,0.0,12.0,0.0,False,True,12,1.0,1.8967435657978058,0.08333333333333333,0.15806196381648382,0.8521943390369415,0.0,12.0,0.0,False,0.0,0.08602771659692127,0.0
46,True,10,4.0,1.287138432264328,0.4,0.1287138432264328,0.0,1.0,10.0,0.0,False,True,10,2.0,0.13017839193344122,0.2,0.013017839193344122,0.0,1.0,10.0,0.0,False,0.2,0.11569600403308869,0.0
47,True,12,2.0,0.6930453777313232,0.16666666666666666,0.05775378147761027,0.0,0.0,12.0,0.0,False,True,12,2.0,0.5882399380207062,0.16666666666666666,0.049019994835058846,0.0,0.0,12.0,0.0,False,0.0,0.008733786642551422,0.0
48,True,12,5.0,0.0,0.4166666666666667,0.0,0.0,1.0,12.0,0.0,False,True,12,1.0,0.6422564089298249,0.08333333333333333,0.05352136741081875,0.0,1.0,12.0,0.0,False,0.33333333333333337,-0.05352136741081875,0.0
49,True,12,1.0,3.3361074328422546,0.08333333333333333,0.27800895273685455,0.8574765026569366,0.0,12.0,0.0,False,True,12,1.0,2.08502659201622,0.08333333333333333,0.17375221600135168,0.8574765026569366,0.0,12.0,0.0,False,0.0,0.10425673673550287,0.0
50,True,14,2.0,0.0,0.14285714285714285,0.0,0.0,0.0,14.0,0.0,False,True,14,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,True,0.14285714285714285,0.0,0.0
